z_hat,W_c_over_W_s
2.026834,0.945387
2.402602,0.887505
2.73842,0.86293
3.001047,0.844947
3.288861,0.827338
3.651741,0.810096
3.847931,0.624787
4.054661,0.776683
4.443521,0.760497
4.443521,0.594826
4.869675,0.760497
5.198872,0.578356
5.772496,0.586533
6.082623,0.624787
6.493816,0.562341
6.842696,0.603237
7.597694,0.586533
8.326348,0.570292
9.00628,0.562341
