z_hat,b_g_over_D
0.269069365,0.03
0.408187526,0.04
0.531484001,0.053231209
0.546457714,0.05
0.654617986,0.058443239
0.806279599,0.07
1.06450896,0.09
1.275207017,0.100468148
1.5276085,0.09
1.907844553,0.140628396
2.484125048,0.17928737
3.017435594,0.19
4.514402748,0.28072162
6.043619784,0.332122405
