z_hat,Q_over_D2_W_s
0.136364,0.002176
0.273449,0.005093
0.398657,0.009158
0.525056,0.012645
0.532789,0.015078
0.652688,0.020218
0.799385,0.020218
1.05306,0.03635
1.271465,0.047332
1.53506,0.056441
1.90803,0.080253
2.477154,0.128316
3.034125,0.140119
4.552965,0.224036
5.996686,0.318555
