z_hat,M_over_D2_W_s2
0.137186,0.002735
0.27346,0.004498
0.276975,0.006173
0.40117,0.006912
0.531351,0.012165
0.545101,0.009925
0.643575,0.018693
0.799673,0.014251
1.045725,0.025081
1.266588,0.032164
1.534098,0.043154
1.881996,0.04832
2.492707,0.079463
3.057996,0.074251
4.486136,0.106616
6.018288,0.153089
