z_hat,M_over_D2_W_s2
2.031916,0.095219
2.398986,0.101902
2.691277,0.111548
3.259689,0.127756
3.344043,0.149666
3.703861,0.13985
3.799709,0.210098
3.998911,0.153089
4.317465,0.175333
4.429192,0.240626
4.721324,0.183444
5.032723,0.263404
5.718492,0.294932
6.174029,0.337786
6.838352,0.361494
7.574156,0.378217
8.282648,0.41402
8.828938,0.443079
