z_hat,b_g_over_D
1.804721767,0.308207933
2.317434892,0.351268289
2.776124341,0.39
3.419295633,0.447832511
3.419295633,0.520025141
3.821220611,0.550003067
3.87467512,0.482580734
4.270390317,0.592678909
4.330128197,0.520025141
4.83911802,0.560374935
5.716950136,0.675483281
6.388955515,0.714422914
6.848504994,0.755607302
7.54793331,0.799165849
8.090846594,0.829591125
8.917153535,0.877414623
