z_hat,W_c_over_W_s
5.866679600767947,0.3534981105030108
6.8200485445473,0.3534981105030108
7.829480918738424,0.3487562458785949
8.876236861786644,0.35830444789424304
9.570319363588741,0.3631761346563262
10.318676050139315,0.36073206735248836
11.408294097495238,0.37060814181225005
12.772238803298974,0.36073206735248836
13.770971441943678,0.37060814181225005
28.51286592616102,0.37060814181225005
32.73304262414791,0.3756471157602371
37.57784581209746,0.3781922369637631
41.54594198826008,0.3807546021222374
45.9330559905645,0.3631761346563262
49.524818007934726,0.35830444789424304
54.07170041754047,0.36073206735248836
57.57288380462642,0.35830444789424304
60.536366290285095,0.3558931655924842
65.27004264649622,0.3534981105030108
