z_hat,b_g_over_D
5.375697009750412,1.0180804577672387
6.143357615657407,1.0743069978730817
6.567367271881871,1.154135525679073
7.307488085630809,1.239895871730956
7.916819159262985,1.308372831903477
8.69221449611507,1.4568811511326747
8.927392672279097,1.2851369672421384
9.417010257544185,1.5100395661331372
9.801766396002877,1.6222460729620616
10.066964815258187,1.380631637133618
10.906393413323302,1.4055940891409269
11.201478827128854,1.4832222292576152
12.463848857844448,1.5100395661331372
12.973091412086672,1.5651376157312225
13.868483862590919,1.6222460729620616
25.626875096042937,3.092234160141469
32.586932292754,3.633383871590325
37.240413347049355,3.973944430566748
44.2972546712809,4.4250114305098
50.622993882269434,4.927277293947934
57.08496500196352,5.293408477349406
63.51825386810842,5.486553405051392
67.90223322785677,5.585752802179124
