table_number,table_name,data_group,source_study,airflow_normal_m3_s,z_m,b_smooth_m,U_smooth_m_s,q_m3_s,gamma,value_basis,source
1,Measurement-height plume properties and momentum amplification,primary,Fannelop & Sjoen data,0.015,2.25,0.362,1.049,0.0085,0.91,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Fannelop & Sjoen data,0.015,3.85,0.518,0.974,0.0094,0.88,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Fannelop & Sjoen data,0.015,5.45,0.645,0.904,0.0104,0.97,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Fannelop & Sjoen data,0.015,7.05,0.781,0.836,0.0117,1.07,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Fannelop & Sjoen data,0.015,8.65,0.97,0.766,0.0133,1.09,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Fannelop & Sjoen data,0.0221,0.65,0.161,1.162,0.0115,,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Fannelop & Sjoen data,0.0221,2.25,0.334,1.077,0.0126,1.47,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Fannelop & Sjoen data,0.0221,3.85,0.524,1.008,0.0138,1.15,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Fannelop & Sjoen data,0.0221,5.45,0.72,0.945,0.0153,1.02,smooth values at measurement heights,"Milgram (1983), Table 1"
1,Measurement-height plume properties and momentum amplification,primary,Fannelop & Sjoen data,0.0221,7.05,0.911,0.881,0.0172,1.01,smooth values at measurement heights,"Milgram (1983), Table 1"
