z_hat,W_c_over_W_s
0.001351,3.321555
0.004744,2.989577
0.008111,2.906797
0.011548,2.748048
0.015002,2.421845
0.018254,2.321954
0.020268,3.20699
0.030406,2.767408
0.060826,2.806537
0.069328,2.989577
0.104003,2.579796
0.121682,2.786904
0.170984,2.561749
0.18017,2.321954
0.210797,2.119432
0.216385,2.388079
0.253168,2.089883
0.273842,2.17979
0.328886,2.0178
0.360428,1.790807
0.405466,1.867848
0.51313,1.556228
0.657933,1.669402
0.811131,1.634612
