table_number,table_name,data_group,source_study,airflow_normal_m3_s,z_m,b_midpoint_m,U_midpoint_m_s,q_m3_s,W,alpha,value_basis,source
2,Midpoint entrainment coefficients and plume properties,primary,Fannelop & Sjoen data,0.015,7.85,0.88,0.801,0.0125,0.162,0.093,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Fannelop & Sjoen data,0.0221,1.45,0.25,1.12,0.012,0.162,0.102,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Fannelop & Sjoen data,0.0221,3.05,0.43,1.042,0.0131,0.162,0.109,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Fannelop & Sjoen data,0.0221,4.65,0.62,0.976,0.0145,0.162,0.11,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Fannelop & Sjoen data,0.0221,6.25,0.82,0.913,0.0162,0.162,0.101,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Fannelop & Sjoen data,0.0221,7.85,1.0,0.844,0.0184,0.162,0.082,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.00021,0.64,0.04,0.548,0.0002,0.175,0.045,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.00021,1.27,0.08,0.381,0.0002,0.169,0.04,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.00021,1.89,0.12,0.325,0.0002,0.169,0.043,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.00021,2.49,0.14,0.34,0.0002,0.158,0.039,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.0005,0.64,0.06,0.654,0.0004,0.175,0.065,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.0005,1.27,0.1,0.489,0.0004,0.169,0.047,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.0005,1.89,0.14,0.434,0.0004,0.169,0.055,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.0005,2.49,0.18,0.434,0.0004,0.158,0.074,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.00118,0.64,0.07,0.762,0.0009,0.175,0.071,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.00118,1.27,0.12,0.568,0.001,0.169,0.042,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.00118,1.89,0.16,0.493,0.001,0.169,0.063,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.00118,2.49,0.22,0.484,0.0011,0.158,0.118,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.00234,0.64,0.08,0.854,0.0018,0.175,0.078,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.00234,1.27,0.14,0.63,0.0019,0.169,0.06,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.00234,1.89,0.19,0.563,0.002,0.169,0.083,midpoint averages between measurement heights,"Milgram (1983), Table 2"
2,Midpoint entrainment coefficients and plume properties,primary,Milgram & Van Houten data,0.00234,2.49,0.25,0.566,0.0021,0.158,0.121,midpoint averages between measurement heights,"Milgram (1983), Table 2"
