z_hat,b_g_over_D
0.0,0.0
0.01,0.0
0.01,0.0
0.013387418,0.0
0.016953561,0.0
0.05,0.01
0.07,0.010284197
0.1,0.013610505
0.132486597,0.018698436
0.144002835,0.02
0.14601727,0.01801267
0.19821396,0.022122163
0.218457277,0.03
0.24755127,0.027169214
0.288423183,0.035291275
0.296549046,0.03
0.370362879,0.04
0.437547938,0.049398296
0.585763725,0.06
0.741799568,0.07
