paper_id,paper_short_name,plot_id,plot_title,source_figure,row_index,x_variable,y_variable,x_description,y_description,doi,li2020_air_stone_x,li2020_air_stone_y,gap_1,li2020_single_orifice_x,li2020_single_orifice_y,gap_2,milgram83_x,milgram83_y,gap_3,fs80_x,fs80_y,gap_4,mv82_x,mv82_y
li_2020,Li et al. 2020,figure_10a,Plume half-width scaling,Figure 10a,19,z_hat,b_g_over_D,z/D,"b_g/D, nondimensional plume half-width",https://doi.org/10.1016/j.ijmultiphaseflow.2020.103230,,,,44.2972546712809,4.4250114305098,,,,,0.585763725,0.06,,,
li_2020,Li et al. 2020,figure_10a,Plume half-width scaling,Figure 10a,20,z_hat,b_g_over_D,z/D,"b_g/D, nondimensional plume half-width",https://doi.org/10.1016/j.ijmultiphaseflow.2020.103230,,,,50.622993882269434,4.927277293947934,,,,,0.741799568,0.07,,,
li_2020,Li et al. 2020,figure_10a,Plume half-width scaling,Figure 10a,21,z_hat,b_g_over_D,z/D,"b_g/D, nondimensional plume half-width",https://doi.org/10.1016/j.ijmultiphaseflow.2020.103230,,,,57.08496500196352,5.293408477349406,,,,,,,,,
li_2020,Li et al. 2020,figure_10a,Plume half-width scaling,Figure 10a,22,z_hat,b_g_over_D,z/D,"b_g/D, nondimensional plume half-width",https://doi.org/10.1016/j.ijmultiphaseflow.2020.103230,,,,63.51825386810842,5.486553405051392,,,,,,,,,
li_2020,Li et al. 2020,figure_10a,Plume half-width scaling,Figure 10a,23,z_hat,b_g_over_D,z/D,"b_g/D, nondimensional plume half-width",https://doi.org/10.1016/j.ijmultiphaseflow.2020.103230,,,,67.90223322785677,5.585752802179124,,,,,,,,,
li_2020,Li et al. 2020,figure_10b,Centerline velocity scaling,Figure 10b,1,z_hat,W_c_over_W_s,z/D,"W_c/W_s, centerline velocity normalized by bubble slip velocity",https://doi.org/10.1016/j.ijmultiphaseflow.2020.103230,2.026834,0.945387,,5.866679600767947,0.3534981105030108,,0.007401,6.032368,,0.001351,3.321555,,0.068427,2.906797
li_2020,Li et al. 2020,figure_10b,Centerline velocity scaling,Figure 10b,2,z_hat,W_c_over_W_s,z/D,"W_c/W_s, centerline velocity normalized by bubble slip velocity",https://doi.org/10.1016/j.ijmultiphaseflow.2020.103230,2.402602,0.887505,,6.8200485445473,0.3534981105030108,,0.015399,4.955893,,0.004744,2.989577,,0.133352,2.561749
li_2020,Li et al. 2020,figure_10b,Centerline velocity scaling,Figure 10b,3,z_hat,W_c_over_W_s,z/D,"W_c/W_s, centerline velocity normalized by bubble slip velocity",https://doi.org/10.1016/j.ijmultiphaseflow.2020.103230,2.73842,0.86293,,7.829480918738424,0.3487562458785949,,0.036998,4.398379,,0.008111,2.906797,,0.205353,1.921041
li_2020,Li et al. 2020,figure_10b,Centerline velocity scaling,Figure 10b,4,z_hat,W_c_over_W_s,z/D,"W_c/W_s, centerline velocity normalized by bubble slip velocity",https://doi.org/10.1016/j.ijmultiphaseflow.2020.103230,3.001047,0.844947,,8.876236861786644,0.35830444789424304,,0.061627,3.795494,,0.011548,2.748048,,0.320392,2.21061
li_2020,Li et al. 2020,figure_10b,Centerline velocity scaling,Figure 10b,5,z_hat,W_c_over_W_s,z/D,"W_c/W_s, centerline velocity normalized by bubble slip velocity",https://doi.org/10.1016/j.ijmultiphaseflow.2020.103230,3.288861,0.827338,,9.570319363588741,0.3631761346563262,,0.096151,3.344955,,0.015002,2.421845,,0.337605,1.693006
li_2020,Li et al. 2020,figure_10b,Centerline velocity scaling,Figure 10b,6,z_hat,W_c_over_W_s,z/D,"W_c/W_s, centerline velocity normalized by bubble slip velocity",https://doi.org/10.1016/j.ijmultiphaseflow.2020.103230,3.651741,0.810096,,10.318676050139315,0.36073206735248836,,0.12822,3.162278,,0.018254,2.321954,,0.405466,1.704933
li_2020,Li et al. 2020,figure_10b,Centerline velocity scaling,Figure 10b,7,z_hat,W_c_over_W_s,z/D,"W_c/W_s, centerline velocity normalized by bubble slip velocity",https://doi.org/10.1016/j.ijmultiphaseflow.2020.103230,3.847931,0.624787,,11.408294097495238,0.37060814181225005,,0.140516,3.39225,,0.020268,3.20699,,0.468225,1.545341
li_2020,Li et al. 2020,figure_10b,Centerline velocity scaling,Figure 10b,8,z_hat,W_c_over_W_s,z/D,"W_c/W_s, centerline velocity normalized by bubble slip velocity",https://doi.org/10.1016/j.ijmultiphaseflow.2020.103230,4.054661,0.776683,,12.772238803298974,0.36073206735248836,,0.164403,3.344955,,0.030406,2.767408,,0.592553,1.657724
li_2020,Li et al. 2020,figure_10b,Centerline velocity scaling,Figure 10b,9,z_hat,W_c_over_W_s,z/D,"W_c/W_s, centerline velocity normalized by bubble slip velocity",https://doi.org/10.1016/j.ijmultiphaseflow.2020.103230,4.443521,0.760497,,13.770971441943678,0.37060814181225005,,0.175517,3.20699,,0.060826,2.806537,,0.675376,1.58935
