paper_id,paper_short_name,source_table,table_title,data_group,source_study,airflow_normal_m3_s,z_m,b_m,U_m_s,q_m3_s,gamma,alpha,W,value_basis,source,doi,notes
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.59,16.47,2.488,1.316,0.1362,0.99,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.59,25.62,3.615,1.188,0.1723,0.99,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.59,37.81,5.296,1.184,0.2668,0.83,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.59,43.9,6.343,1.162,0.3674,0.81,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Bugg Spring experiment data,0.59,46.95,6.944,1.129,0.4527,0.84,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.005,0.65,0.113,0.987,0.0026,,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.005,2.25,0.293,0.748,0.0028,1.06,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.005,3.85,0.465,0.62,0.0031,1.08,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.005,5.45,0.614,0.569,0.0035,1.11,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.005,7.05,0.721,0.566,0.0039,1.13,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.005,8.65,0.769,0.58,0.0044,1.25,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.01,0.65,0.134,0.978,0.0052,,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.01,2.25,0.307,0.893,0.0057,1.3,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.01,3.85,0.491,0.815,0.0062,1.03,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.01,5.45,0.665,0.749,0.0069,0.99,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.01,7.05,0.807,0.696,0.0078,1.07,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.01,8.65,0.897,0.659,0.0089,1.28,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.015,0.65,0.134,1.131,0.0078,,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.015,2.25,0.362,1.049,0.0085,0.91,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.015,3.85,0.518,0.974,0.0094,0.88,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.015,5.45,0.645,0.904,0.0104,0.97,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.015,7.05,0.781,0.836,0.0117,1.07,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.015,8.65,0.97,0.766,0.0133,1.09,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.0221,0.65,0.161,1.162,0.0115,,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Fannelop & Sjoen data,0.0221,2.25,0.334,1.077,0.0126,1.47,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
