paper_id,paper_short_name,plot_id,plot_title,source_figure,data_type,row_index,x_variable,y_variable,x_units,y_units,x_description,y_description,source_file,doi,processing_note,air_400_cm3_s_x,air_400_cm3_s_y,gap_fig_4_centerline_velocity_single_orifice_1,air_570_cm3_s_x,air_570_cm3_s_y,gap_fig_4_centerline_velocity_single_orifice_2,air_930_cm3_s_x,air_930_cm3_s_y,gap_fig_4_centerline_velocity_single_orifice_3,air_1300_cm3_s_x,air_1300_cm3_s_y,gap_fig_4_centerline_velocity_single_orifice_4,air_2550_cm3_s_x,air_2550_cm3_s_y,gap_fig_4_centerline_velocity_single_orifice_5,air_4200_cm3_s_x,air_4200_cm3_s_y,gap_fig_4_centerline_velocity_single_orifice_6,air_5800_cm3_s_x,air_5800_cm3_s_y,height_0_50_m_x,height_0_50_m_y,gap_fig_6_velocity_profiles_single_orifice_1,height_1_00_m_x,height_1_00_m_y,gap_fig_6_velocity_profiles_single_orifice_2,height_1_50_m_x,height_1_50_m_y,gap_fig_6_velocity_profiles_single_orifice_3,height_2_00_m_x,height_2_00_m_y,gap_fig_6_velocity_profiles_single_orifice_4,height_2_75_m_x,height_2_75_m_y,air_130_cm3_s_x,air_130_cm3_s_y,gap_fig_13_volume_flux_ratio_single_orifice_1,gap_fig_13_volume_flux_ratio_single_orifice_2,gap_fig_13_volume_flux_ratio_single_orifice_3,gap_fig_13_volume_flux_ratio_single_orifice_4,gap_fig_13_volume_flux_ratio_single_orifice_5,air_6200_cm3_s_x,air_6200_cm3_s_y
kobus_1968,Kobus 1968,fig_4_centerline_velocity_single_orifice,Centerline velocity above a single orifice,Figure 4,single_orifice_centerline_velocity,11,centerline_velocity,distance_above_orifice,m/s,m,Centerline water velocity above a single orifice,Vertical distance above orifice,wc_single_orifice.csv,https://doi.org/10.1061/9780872620131.065,Digitized x values divided by 10 to match the paper axis scale of 0–1.5 m/s.,,,,,,,,,,,,,,,,0.7718382796563911,3.75144367512282,,,,,,,,,,,,,,,,,,,,,,,,,,
kobus_1968,Kobus 1968,fig_4_centerline_velocity_single_orifice,Centerline velocity above a single orifice,Figure 4,single_orifice_centerline_velocity,12,centerline_velocity,distance_above_orifice,m/s,m,Centerline water velocity above a single orifice,Vertical distance above orifice,wc_single_orifice.csv,https://doi.org/10.1061/9780872620131.065,Digitized x values divided by 10 to match the paper axis scale of 0–1.5 m/s.,,,,,,,,,,,,,,,,0.7747364035969777,3.993248484500244,,,,,,,,,,,,,,,,,,,,,,,,,,
kobus_1968,Kobus 1968,fig_6_velocity_profiles_single_orifice,Velocity profiles above a single orifice,Figure 6,single_orifice_velocity_profile,1,radial_distance,vertical_velocity,m,m/s,Radial distance from plume centerline,Vertical water velocity,velocity_profile_single_orifice.csv,https://doi.org/10.1061/9780872620131.065,Digitized x and y values divided by 10 to match the paper axes of 0–0.5 m and 0–1.2 m/s.,,,,,,,,,,,,,,,,,,,,,0.0004753408331553688,1.0054111698206794,,0.00010677946252040105,0.8898661467769825,,-0.0006833885601306156,0.8148565366253557,,0.0005545643053479265,0.7723040252412872,,-0.000241803815126862,0.7155375829263084,,,,,,,,,
kobus_1968,Kobus 1968,fig_6_velocity_profiles_single_orifice,Velocity profiles above a single orifice,Figure 6,single_orifice_velocity_profile,2,radial_distance,vertical_velocity,m,m/s,Radial distance from plume centerline,Vertical water velocity,velocity_profile_single_orifice.csv,https://doi.org/10.1061/9780872620131.065,Digitized x and y values divided by 10 to match the paper axes of 0–0.5 m and 0–1.2 m/s.,,,,,,,,,,,,,,,,,,,,,0.020072472254562233,0.9428116754731019,,0.020923263455934527,0.8394436445552808,,0.00868909265012847,0.8372678235589939,,0.04911028596228961,0.7019486218560338,,0.10010057936469666,0.6681093146136305,,,,,,,,,
kobus_1968,Kobus 1968,fig_6_velocity_profiles_single_orifice,Velocity profiles above a single orifice,Figure 6,single_orifice_velocity_profile,3,radial_distance,vertical_velocity,m,m/s,Radial distance from plume centerline,Vertical water velocity,velocity_profile_single_orifice.csv,https://doi.org/10.1061/9780872620131.065,Digitized x and y values divided by 10 to match the paper axes of 0–0.5 m and 0–1.2 m/s.,,,,,,,,,,,,,,,,,,,,,0.040553462065734805,0.6795472550789136,,0.07032013171763377,0.6940984713314367,,0.01971148878126743,0.8049694472957238,,0.09930214454494726,0.6174239282442011,,0.15030277144372722,0.5531793412740514,,,,,,,,,
kobus_1968,Kobus 1968,fig_6_velocity_profiles_single_orifice,Velocity profiles above a single orifice,Figure 6,single_orifice_velocity_profile,4,radial_distance,vertical_velocity,m,m/s,Radial distance from plume centerline,Vertical water velocity,velocity_profile_single_orifice.csv,https://doi.org/10.1061/9780872620131.065,Digitized x and y values divided by 10 to match the paper axes of 0–0.5 m and 0–1.2 m/s.,,,,,,,,,,,,,,,,,,,,,0.06100896258585413,0.4912825246798338,,0.10139708870962183,0.45326021810566336,,0.040109810621456465,0.7849472647235102,,0.15074573398824734,0.44980635027797095,,0.20131786523742928,0.4463673626850557,,,,,,,,,
kobus_1968,Kobus 1968,fig_6_velocity_profiles_single_orifice,Velocity profiles above a single orifice,Figure 6,single_orifice_velocity_profile,5,radial_distance,vertical_velocity,m,m/s,Radial distance from plume centerline,Vertical water velocity,velocity_profile_single_orifice.csv,https://doi.org/10.1061/9780872620131.065,Digitized x and y values divided by 10 to match the paper axes of 0–0.5 m and 0–1.2 m/s.,,,,,,,,,,,,,,,,,,,,,0.06960229816959333,0.4062519030855821,,0.13038116823620993,0.37050461907287885,,0.04990458738348982,0.7647961201165618,,0.20054629750824954,0.31662824902348474,,0.24948780302978107,0.31114240246901675,,,,,,,,,
kobus_1968,Kobus 1968,fig_6_velocity_profiles_single_orifice,Velocity profiles above a single orifice,Figure 6,single_orifice_velocity_profile,6,radial_distance,vertical_velocity,m,m/s,Radial distance from plume centerline,Vertical water velocity,velocity_profile_single_orifice.csv,https://doi.org/10.1061/9780872620131.065,Digitized x and y values divided by 10 to match the paper axes of 0–0.5 m and 0–1.2 m/s.,,,,,,,,,,,,,,,,,,,,,0.07983521517783947,0.29691689802216886,,0.14999001095350611,0.27344580770052146,,0.08053100393361759,0.6496280630205498,,0.3001129795603441,0.15162297894033436,,0.30007784567267615,0.2550009300146737,,,,,,,,,
kobus_1968,Kobus 1968,fig_6_velocity_profiles_single_orifice,Velocity profiles above a single orifice,Figure 6,single_orifice_velocity_profile,7,radial_distance,vertical_velocity,m,m/s,Radial distance from plume centerline,Vertical water velocity,velocity_profile_single_orifice.csv,https://doi.org/10.1061/9780872620131.065,Digitized x and y values divided by 10 to match the paper axes of 0–0.5 m and 0–1.2 m/s.,,,,,,,,,,,,,,,,,,,,,0.09945645809078321,0.16337175097651535,,0.16997912633732662,0.2574727023470816,,0.09890120488567708,0.5971487816807777,,0.34989976508518245,0.05898525065617708,,0.3506754662129113,0.17656225242664955,,,,,,,,,
kobus_1968,Kobus 1968,fig_6_velocity_profiles_single_orifice,Velocity profiles above a single orifice,Figure 6,single_orifice_velocity_profile,8,radial_distance,vertical_velocity,m,m/s,Radial distance from plume centerline,Vertical water velocity,velocity_profile_single_orifice.csv,https://doi.org/10.1061/9780872620131.065,Digitized x and y values divided by 10 to match the paper axes of 0–0.5 m and 0–1.2 m/s.,,,,,,,,,,,,,,,,,,,,,0.11905634511122283,0.09266418203487206,,0.22018062951659903,0.14456974765601877,,0.11891649846030901,0.5041489676837123,,0.3996472833238035,0.08188758533745748,,0.45102473839031665,0.10886379762880712,,,,,,,,,
